Workspace Name,Bound Object,Target Object,Field Code,Field Label,Location / Tab,Row Index,Column Index,Required Option,Read Only Option,Object Field ID,Data Type,Is System Field,Is Nullable,Is Lookup,Max Length
Incident,Incident,Incident,Incident.QueueId,QueueId,SUMMARY_LBL,3,3,No,No,—,Standard Data Field,Yes,Yes,Yes,—
Incident,Incident,Contact,Contact.C$Gender,C$Gender,SUMMARY_LBL,4,2,OnNew:~any~;OnEdit:~any~,,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.Name.First,First,CONTACTS_LBL,1,0,No,No,—,Standard Data Field,Yes,Yes,Yes,—
Incident,Incident,Contact,Contact.Name.Last,Last,CONTACTS_LBL,1,1,No,No,—,Standard Data Field,Yes,Yes,Yes,—
Incident,Incident,Contact,Contact.Email,Email,CONTACTS_LBL,2,0,No,No,10002,Text,No,Yes,No,255
Incident,Incident,Contact,Contact.Addr,Addr,CONTACTS_LBL,2,1,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.PhOffice,PhOffice,CONTACTS_LBL,3,0,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.Login,Login,CONTACTS_LBL,0,0,,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.MaOptIn,MaOptIn,CONTACTS_LBL,0,1,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.State,State,CONTACTS_LBL,0,2,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.MaMailType,MaMailType,CONTACTS_LBL,1,1,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.Source,Source,CONTACTS_LBL,1,2,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.Login,Login,CONTACT_FIELDS_LBL,0,0,,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.MaOptIn,MaOptIn,CONTACT_FIELDS_LBL,0,1,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.State,State,CONTACT_FIELDS_LBL,0,2,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.MaMailType,MaMailType,CONTACT_FIELDS_LBL,1,1,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Contact,Contact.Source,Source,CONTACT_FIELDS_LBL,1,2,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Incident,Incident.MailboxId,MailboxId,Other Info,1,0,No,No,—,Standard Data Field,Yes,Yes,Yes,—
Incident,Incident,Incident,Incident.InterfaceId,InterfaceId,Other Info,1,1,No,No,—,Standard Data Field,Yes,Yes,Yes,—
Incident,Incident,Incident,Incident.SlaiId,SlaiId,Other Info,1,2,No,No,—,Standard Data Field,Yes,Yes,Yes,—
Incident,Incident,Incident,Incident.Source,Source,Other Info,2,0,No,No,—,Standard Data Field,Yes,Yes,No,—
Incident,Incident,Incident,Incident.LangId,LangId,Other Info,2,1,No,No,—,Standard Data Field,Yes,Yes,Yes,—
real_edge_03_split_panel_contact,Contact,Contact,Contact.Title,Title,Top Form Layout,2,0,No,No,—,Standard Data Field,Yes,Yes,No,—
real_edge_03_split_panel_contact,Contact,Contact,Contact.Name.First,First,Top Form Layout,3,0,No,No,—,Standard Data Field,Yes,Yes,Yes,—
real_edge_03_split_panel_contact,Contact,Contact,Contact.Name.Last,Last,Top Form Layout,4,0,No,No,—,Standard Data Field,Yes,Yes,Yes,—
